establecimiento_id,establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,origen_financiamiento,tipologia_id,tipologia_sigla,tipologia_nombre,cp,domicilio,sitio_web,longitud,latitud,coordinate_status
50020012317432,SALUD OCULAR - ORGANIZACION OFTALMOLOGICA,2003010001,BALVANERA,2,CABA,3,COMUNA 3,10,1,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,C1023AAN,Av. Callao 710,www.org-saludocular.com.ar,-58.3928033999999,-34.6007048,valid_argentina_bounds
10067492306623,CLINICA PRIVADA SANATORIO SAN PABLO,6749010001,SAN FERNANDO,6,BUENOS AIRES,749,SAN FERNANDO,10,1,Privado,10,ESCIG,Bajo riesgo con internación simple,1646,Alvear 1444,www.sanatoriosanpablo.com.ar,-58.5638101,-34.4384601,valid_argentina_bounds
13540912364916,PREVENIR INSITUTO DE SALUD MENTAL,54091080000,OBERA,54,MISIONES,91,OBERÁ,80,0,Privado,13,ESCIESM,Bajo riesgo con internación simple,3360,Córdoba 121,NA,-55.1219262999999,-27.4871924,valid_argentina_bounds
51540912364918,SERVICIO DE RX IMAGEN DIAGNOSTICA,54091080000,OBERA,54,MISIONES,91,OBERÁ,80,0,Privado,51,ESSID,Diagnostico por Imágenes,3360,Avenida Misiónes 295,NA,-55.117739,-27.4895059,valid_argentina_bounds
50501052158510,C.A.P.S. 114 VILLA ATUEL.-,50105230000,VILLA ATUEL,50,MENDOZA,105,SAN RAFAEL,230,0,Provincial,50,ESSIDT,Con guardia permanente,5622,ARIZÚ 187,www.salud.mendoza.gov.ar,-67.923725,-34.830346,valid_argentina_bounds
50501052158512,C.A.P.S. 115 REAL DEL PADRE.-,50105190000,REAL DEL PADRE,50,MENDOZA,105,SAN RAFAEL,190,0,Provincial,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5624,CÓRDOBA S/N,www.salud.mendoza.gov.ar,-67.766418,-34.832149,valid_argentina_bounds
50501052158548,C.A.P.S. 111 RODOLFO ISELIN.-,50105000055,LA LLAVE,50,MENDOZA,105,SAN RAFAEL,0,0,Provincial,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5603,FRAY LUIS BELTRÁN S/N,www.salud.mendoza.gov.ar,-68.008834,-34.639282,valid_argentina_bounds
50500142158560,C.A.P.S. 188 LA ESCANDINAVA.-,50014000037,LA ESCANDINAVA,50,MENDOZA,14,GENERAL ALVEAR,0,0,Provincial,50,ESSIDT,Con atención médica general por lo menos 3 días de la semana,5634,LA ESCANDINAVA,www.salud.mendoza.gov.ar,-67.490483,-34.92406,valid_argentina_bounds
50500142158570,C.A.P.S. 141 CORRAL DE LORCA.-,50014000009,CORRAL DE LORCA,50,MENDOZA,14,GENERAL ALVEAR,0,0,Provincial,50,ESSIDT,Con guardia permanente,5637,RUTA 188 ESTE S/N,www.salud.mendoza.gov.ar,-67.049388,-34.693973,valid_argentina_bounds
50380352150441,PUESTO LA BAJADA (10),38035060000,FRAILE PINTADO,38,JUJUY,35,LEDESMA,60,0,Provincial,50,ESSIDT,Sin atención médica en forma periódica (menor a 3 veces por semana),4506,FINCA SAN ISIDRO,NA,-64.8391638399999,-23.94651683,valid_argentina_bounds
50300492242605,SALA DE PRIMEROS AUXILIOS BARRIO LOS CORCHOS,30049030000,GENERAL GALARZA,30,ENTRE RÍOS,49,GUALEGUAY,30,0,Municipal,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,2843,SAN JOSE 777,NA,-59.131875,-32.308269,valid_argentina_bounds
50500492158572,C.A.P.S. 226 SAN MIGUEL.-,50049050008,EL RESGUARDO,50,MENDOZA,49,LAS HERAS,50,8,Provincial,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5543,BARRIO ESTACIÓN ESPEJO - RAFAEL OBLIGADO S/N,www.mendoza.gov.ar/salud/contactos/centro-de-salud-no-226-san-miguel/,-68.818293,-32.821206,valid_argentina_bounds
51540282364946,LABORATORIO DE ANALISIS CLINICOS FALERO MIRTA BEATRIZ,54028030,POSADAS (MUNICIPIO DE POSADAS),54,MISIONES,28,CAPITAL,30,NA,Privado,51,ESSID,Laboratorio de Análisis Clínicos,3300,Avenida Tambor de Tacuari 7130,NA,-55.9514444,-27.3650806,valid_argentina_bounds
51540282364950,LABORATORIO DE ANALISIS CLINICOS FERREIRO PAZ ALEJANDRA C.,54028030,POSADAS (MUNICIPIO DE POSADAS),54,MISIONES,28,CAPITAL,30,NA,Privado,51,ESSID,Laboratorio de Análisis Clínicos,3300,Avenida Bartolomé Mitre 86,NA,-55.89528,-27.3746702,valid_argentina_bounds
13020012317371,PROGAMA MYRIAS (A),2015010002,CHACARITA,2,CABA,15,COMUNA 15,10,2,Privado,13,ESCIESM,Bajo riesgo con internación simple,C1427BPB,Av. Corrientes 6349,NA,-58.4488770963071,-34.5902744610519,valid_argentina_bounds
52020012317424,CENTRO MEDICO DE REHABILITACION (SEA),2008010001,VILLA LUGANO,2,CABA,8,COMUNA 8,10,1,Privado,52,ESSIT,Otros,C1439AAX,Pedro Somellera 5922,NA,-58.4780369,-34.6777603,valid_argentina_bounds
13060282306509,RED DE APOYO FAMILIAR COMUNIDAD TERAPEUTICA EL TAMBO,6028010010,RAFAEL CALZADA,6,BUENOS AIRES,28,ALMIRANTE BROWN,10,10,Privado,13,ESCIESM,Bajo riesgo con internación simple,1847,San Jerónimo Sur 4990 esquina San Marcos,NA,-58.3369549999999,-34.783174,valid_argentina_bounds
15140142332748,RESIDENCIA GERIATRICA PRIVADA CRISTO REY,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,Privado,17,ESCIRES,Vivienda para personas mayores,5000,TRISTAN MALBRAN 3689,NA,-64.228859,-31.379207,valid_argentina_bounds
15140142332754,RESIDENCIA GERIATRICA PRIVADA EL HOGAR DEL ABUELO,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,Privado,17,ESCIRES,Vivienda para personas mayores,5000,Bv. Los Granaderos 3215,NA,-64.2188299,-31.3729775,valid_argentina_bounds
50380942150435,CIC SAN PEDRITO - MAIMARA (16),38094040000,MAIMARA,38,JUJUY,94,TILCARA,40,0,Provincial,50,ESSIDT,Con atención médica general por lo menos 3 días de la semana,4622,SOBRE EX RUTA 9 B° SAN PEDRITO,NA,-65.408161,-23.600928,valid_argentina_bounds
50380982150437,PUESTO EL MORENO (16),38098020000,EL MORENO,38,JUJUY,98,TUMBAYA,20,0,Provincial,50,ESSIDT,Con atención médica general por lo menos 3 días de la semana,4618,B° LAS NIEVES,NA,-65.4945,-23.5033,valid_argentina_bounds
50020012317242,CENTRO MEDICO DE REHABILITACION INTEGRAL ALPI,2005010001,ALMAGRO,2,CABA,5,COMUNA 5,10,1,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,C1175ABN,Mario Bravo 776,NA,-58.416242122912,-34.6011004245798,valid_argentina_bounds
50020012317438,FUNDACION ARGENTINA DE SALUD SOLIDARIA,2009010003,PARQUE AVELLANEDA,2,CABA,9,COMUNA 9,10,3,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,C1239AAE,Mariano Acosta 1421,www.saludsolidaria.org.ar,-58.4671058,-34.6460676,valid_argentina_bounds
50821262286008,CENTRO DE SALUD DR. FERNANDO O. DEGANO,82126070000,EL TREBOL,82,SANTA FE,126,SAN MARTÍN,70,0,Municipal,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,2535,CORDOBA 1002,NA,-61.700313091278,-32.2067144742179,valid_argentina_bounds
15140912332682,RESIDENCIA GERIATRICA PRIVADA LOS ARRAYANES,14091250000,VILLA CARLOS PAZ,14,CÓRDOBA,91,PUNILLA,250,0,Privado,17,ESCIRES,Vivienda para personas mayores,5152,SAN MARTIN 670,NA,-64.491931,-31.417242,valid_argentina_bounds
50460142155241,CAPS LAS LATAS,46014010000,LA RIOJA,46,LA RIOJA,14,CAPITAL,10,0,Provincial,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5300,RUTA 5 KM 75,NA,-66.097695,-29.2192924,valid_argentina_bounds
50020012317468,CONFIGURACIONES - CENTRO DE TRATAMIENTO PARA LA DROGADEPENDENCIA (SEDE CENTRAL) (A),2013010001,BELGRANO,2,CABA,13,COMUNA 13,10,1,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,1428,Av. Congreso 2378,www.configuraciones.com.ar,-58.4624576568603,-34.5556286132968,valid_argentina_bounds
51540282364952,LABORATORIO DE ANALISIS CLINICOS FRANCO MARIA SILVINA,54028030,POSADAS (MUNICIPIO DE POSADAS),54,MISIONES,28,CAPITAL,30,NA,Privado,51,ESSID,Laboratorio de Análisis Clínicos,3300,Belgrano 2009 esq.Ayacucho,NA,-55.8960771560668,-27.3629633948727,valid_argentina_bounds
50540632364869,SERVICIO DE ASISTENCIA MEDICA S.A.M.,54063030000,PUERTO IGUAZU,54,MISIONES,63,IGUAZÚ,30,0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,3370,Avenida República Argentina 275,NA,-54.5762000999999,-25.6049436,valid_argentina_bounds
50540702364871,SERVICIOS INTEGRALES DE SALUD S.R.L,54070070000,LEANDRO N. ALEM,54,MISIONES,70,LEANDRO N. ALEM,70,0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,3315,Avenida Libertador 139,NA,-55.3120430999999,-27.613134,valid_argentina_bounds
